"AIMD_Conductivity","ML_Conductivity","compound"
5.27,0.361490636756078,"Li2MnF6"
5.95,0.32418892181433,"Li2.66MnF5.33"
2.53,0.812187837813893,"RbLi2Be2F7"
6.91,1.51961228418541,"LiVF6"
0.61,1.01593932544531,"Li2VF5"
0.689,9.81146257890872,"Li6ZrBeF12"
0.29,1.00620770661497,"Li1.77BeF4"
2.25,2.67277769780383,"Na2.5Li2.25Sc2F12"
28.19,0.204996568418589,"LiGaBr4"
30,14.8229512740422,"Li2ZnBr4"
29.46,0.155984378547304,"LiGaI4"
1.35,0.216607604868736,"Li7CeO6"
0.3,0.471473175788278,"Li7TiO6"
0.94,0.516545597479473,"Li9Zn4O9"
1.56,0.703870353216958,"Li11.5Zn4O7.5"
4.7,1.17132078538433,"Li9Cr3P8O29"
3.6,0.343158987244895,"Li12Cr3P8O26"
11.82,1.17242331216109,"Li6V3Fe(PO4)6"
43.99,0.569089252719816,"Li4.5TiO3.25  "
0.24,1.94521897589332,"CsLi2Cl3"
0.88,21.4481216389247,"Li2BeCl4"
0.402,1.36046726052823,"Li2CdCl4"
0.576,1.49653542179827,"CsLi3Cl4"
7.51,1.32122218866823,"Cs3Li2Cl5"
0.216,5.29896009128428,"Li5CrCl8"
78.43,3.9100950845447,"Li2VCl5"
