iter	RMSE
0	1.965310379
1	1.878987159
2	1.802239044
3	1.722270752
4	1.656588151
5	1.585565976
6	1.52956263
7	1.469740922
8	1.419633125
9	1.364027077
10	1.313490698
11	1.274389278
12	1.231282184
13	1.193901131
14	1.160015161
15	1.12671713
16	1.093042925
17	1.06298252
18	1.038724758
19	1.012374114
20	0.9914348876
21	0.9726564365
22	0.9492268342
23	0.9312339818
24	0.9124738791
25	0.8953652318
26	0.8777662679
27	0.8590951997
28	0.846062191
29	0.832377176
30	0.8201446119
31	0.8085987415
32	0.7934915996
33	0.783249844
34	0.7730774452
35	0.7633748924
36	0.7507658829
37	0.7383452537
38	0.7270939915
39	0.7167082751
40	0.7069663015
41	0.6948314463
42	0.6826724448
43	0.6752773988
44	0.6674490952
45	0.6584830434
46	0.6468603903
47	0.6372496104
48	0.6287873516
49	0.6210937433
50	0.6151765923
51	0.6090797322
52	0.6032571963
53	0.5972556211
54	0.5908231368
55	0.5830845285
56	0.5774721936
57	0.5718999376
58	0.5669419376
59	0.5615883973
60	0.5561783248
61	0.5485546646
62	0.5427868658
63	0.5350073609
64	0.5293510906
65	0.5256685783
66	0.5235801041
67	0.5188906342
68	0.5135020891
69	0.5081702448
70	0.5040903376
71	0.4992288457
72	0.4951074184
73	0.4888955334
74	0.4833139265
75	0.4789459387
76	0.4753824732
77	0.4695640032
78	0.4650316933
79	0.4616509923
80	0.4577018685
81	0.4554154412
82	0.4507370622
83	0.4455135346
84	0.439991888
85	0.4361783718
86	0.431745232
87	0.4275961067
88	0.4239251763
89	0.4202176687
90	0.4169605248
91	0.4132165261
92	0.4100200548
93	0.406957695
94	0.4032357356
95	0.4018015704
96	0.3982185083
97	0.3945427407
98	0.3911009745
99	0.3884889005
100	0.3849462897
101	0.382229953
102	0.3806926459
103	0.3772630244
104	0.374808714
105	0.3723012981
106	0.3690521172
107	0.3668785807
108	0.3636713337
109	0.3604595108
110	0.359027479
111	0.3553856733
112	0.3526868649
113	0.350811434
114	0.3473390394
115	0.3449061169
116	0.3434225527
117	0.3404791926
118	0.3390816692
119	0.3361486357
120	0.3335462111
121	0.3311017685
122	0.3300392362
123	0.3284699192
124	0.3258741745
125	0.3239626211
126	0.3216950714
127	0.3190243728
128	0.3163775706
129	0.3146729165
130	0.3138364722
131	0.3111706707
132	0.3098772989
133	0.3073290741
134	0.3047616519
135	0.3039146108
136	0.3023195409
137	0.3008072962
138	0.2995717727
139	0.2976155252
140	0.2950760491
141	0.2929894837
142	0.2911811055
143	0.2894790357
144	0.2877746881
145	0.287115918
146	0.2852018239
147	0.2838799038
148	0.2821171699
149	0.2807952123
150	0.2784275022
151	0.2766773416
152	0.2745631204
153	0.2723405622
154	0.2702693031
155	0.2692660263
156	0.2685611186
157	0.2667255801
158	0.2645011074
159	0.2634069081
160	0.2618946336
161	0.2603684051
162	0.2590020126
163	0.2577241519
164	0.2561644887
165	0.2553392238
166	0.2541185004
167	0.2525278467
168	0.2518259984
169	0.2505109539
170	0.2489555871
171	0.24725892
172	0.246128184
173	0.2445114494
174	0.2433188387
175	0.2420489283
176	0.240951293
177	0.2395521744
178	0.2381900261
179	0.2368057842
180	0.2356091004
181	0.2345822619
182	0.2341788178
183	0.2329323458
184	0.2316837851
185	0.2309532797
186	0.2300891147
187	0.2291293207
188	0.2278742185
189	0.2268297156
190	0.225795302
191	0.2249977786
192	0.2242659142
193	0.2232301325
194	0.2229193513
195	0.222178061
196	0.2213161985
197	0.220626182
198	0.2195441253
199	0.2187412471
200	0.2178865238
201	0.2168981557
202	0.2157666548
203	0.2149852015
204	0.2141088564
205	0.2128762912
206	0.2120216498
207	0.2110596253
208	0.2099693208
209	0.2089189831
210	0.2082574203
211	0.207709413
212	0.2071201311
213	0.2058729815
214	0.2045055828
215	0.2039149662
216	0.2027433206
217	0.2016060756
218	0.2008529223
