iter	Passed	Remaining
0	5	2565
1	8	2032
2	11	1870
3	14	1799
4	17	1739
5	20	1701
6	23	1664
7	26	1633
8	29	1605
9	32	1592
10	35	1558
11	37	1527
12	40	1499
13	42	1474
14	45	1461
15	47	1443
16	50	1427
17	52	1407
18	55	1395
19	57	1385
20	60	1373
21	62	1360
22	65	1349
23	67	1340
24	70	1332
25	72	1321
26	75	1314
27	77	1304
28	79	1295
29	82	1288
30	84	1280
31	87	1273
32	89	1267
33	91	1258
34	94	1250
35	96	1243
36	98	1235
37	101	1229
38	103	1223
39	105	1216
40	108	1215
41	110	1210
42	113	1204
43	115	1197
44	117	1191
45	119	1183
46	122	1177
47	124	1172
48	126	1165
49	129	1165
50	131	1157
51	133	1150
52	135	1144
53	137	1138
54	140	1133
55	142	1127
56	144	1122
57	146	1117
58	148	1111
59	150	1104
60	152	1098
61	154	1092
62	156	1086
63	158	1081
64	160	1075
65	162	1069
66	164	1063
67	167	1060
68	168	1054
69	170	1047
70	172	1041
71	174	1035
72	175	1028
73	177	1021
74	179	1016
75	181	1010
76	182	1004
77	184	999
78	186	993
79	188	988
80	190	983
81	191	977
82	194	976
83	196	972
84	198	966
85	199	961
86	201	956
87	203	951
88	205	946
89	206	942
90	208	936
91	210	933
92	212	928
93	214	924
94	215	919
95	217	915
96	219	910
97	220	905
98	222	901
99	224	897
100	226	892
101	227	888
102	229	884
103	231	880
104	232	876
105	234	871
106	236	867
107	237	863
108	239	859
109	241	855
110	243	851
111	244	847
112	246	843
113	247	839
114	249	835
115	251	832
116	253	828
117	254	825
118	256	821
119	258	818
120	260	816
121	262	813
122	264	810
123	266	807
124	267	803
125	270	803
126	272	800
127	274	796
128	275	793
129	277	790
130	279	786
131	281	783
132	282	780
133	284	777
134	286	774
135	287	770
136	289	767
137	291	764
138	293	761
139	294	758
140	296	754
141	298	751
142	299	748
143	301	745
144	303	742
145	304	739
146	306	736
147	308	733
148	312	735
149	313	732
150	315	729
151	317	726
152	319	723
153	320	720
154	322	717
155	324	714
156	325	711
157	327	708
158	329	705
159	330	702
160	332	700
161	334	697
162	335	694
163	337	691
164	339	689
165	341	686
166	342	683
167	344	680
168	346	677
169	347	675
170	349	672
171	351	669
172	352	667
173	354	664
174	356	661
175	357	659
176	359	656
177	361	653
178	363	651
179	364	648
180	366	645
181	368	643
182	369	640
183	371	637
184	373	635
185	374	632
186	376	630
187	378	628
188	380	625
189	381	623
190	383	620
191	385	618
