Material,Predicted log Conductivity
LiLaO2,-1.4784571168615883
LiGaH4,-3.819054317280024
LiCaFeF6,-3.886076582315571
LiVP2O7,-2.879443423826046
KLiCO3,-4.112343705774508
LiAs2H3O7,-3.609249566671496
K2LiCrF6,-2.667976440524027
LiCo2P4H3O14,-3.236337437489626
LiHoSe2,-3.2816480452064725
LiB(S2O7)2,-2.75524567547314
LiCr4(PO4)3,-4.707410929765156
LiAuF4,-3.901134781695655
LiSm6B3O14,-4.538055437402322
Rb2LiVS4,-2.0139202091366855
LiMo8(P2O11)4,-4.311907496364228
LiVMoO6,-2.8350268341520874
LiBH2OF4,-3.0563591459226456
LiV(PO3)3,-2.7083113993942485
SrLiAlF6,-4.417635758817814
LiNbO2,-2.5219617920517097
LiBeN,-2.5437418603356163
Cs2LiSbBr6,-2.9160499444728445
LiCo(PO3)3,-3.195947432656596
Na5LiMn2P2(CO7)2,-4.132821968344615
LiVSiO4,-2.681973170603154
LiNdGeO4,-3.4749892085229854
LiMo2(PO4)3,-4.0193660623206675
LiNi(PO3)3,-3.5091421601076194
LiGaBH3O5,-3.863770013128156
RbLiCrO4,-2.8088715584313175
LiPF6,-2.9997610169043716
NaLiGe4O9,-4.227571950497652
LiGe2(PO4)3,-3.3776354152301122
LiSc(SiO3)2,-2.6444272795399595
LiYS2,-2.4390148930320983
Ba5LiMo2N7Cl2,-4.23833812223321
LiCr4(PO4)3,-4.707410929765156
LiSn2(PO3)5,-2.9717919778697426
LiP3(WO6)2,-3.774823748704851
LiYF4,-1.476032657501929
Cs2LiVO4,-2.663893997492391
Sr4Li(BO3)3,-4.622507232190831
LiAu(S2O7)2,-3.463576461774076
Rb2LiCoF6,-3.1655818218417364
LiHo(WO4)2,-3.7605174228233613
LiMnP2O7,-3.9847292158823437
LiIn(IO3)4,-3.2570755948421364
LiFeAsO4,-4.081094861837837
LiTi2V3O12,-2.8314221224705025
LiUBO5,-3.367151826559303
LiH2BrO,-2.660574009865684
LiMg30GaO32,-3.3051836537560684
LiP2H8NO8,-3.4991218789219865
LiTaO3,-3.0365772714848998
LiZnAsO4,-3.863264135469886
LiNiPO4,-3.7783580857150367
LiScGeO4,-2.64632351857506
LiMg14FeO16,-3.0047565370242664
LiBF4,-4.3389374385532
KLiMoO4,-2.454657705689864
K2LiTmCl6,-2.3478398290323472
LiMnFeF6,-3.872447292949375
LiVP2O7,-2.879443423826046
LiInP2O7,-4.556231487919162
LiSmO2,-2.5144712902523962
LiErS2,-3.3033104067942225
LiTi2(PO4)3,-2.2779132221239236
Rb4LiZr3H2F19,-2.3967194950009985
LiVF4,-1.6057874964109322
LiCoPO4,-3.8020303432844953
Cs2LiLuCl6,-2.9808481879710493
KLiZnP2O7,-3.407774276270386
LiBeBO3,-5.247621991574867
Na2LiMnPCO7,-4.127440815435907
LiGa(H2N)4,-3.9992105510473532
LiAlS2,-3.7954790993816494
LiP(HO2)2,-2.4629524340542575
LiAlCl4,-4.361965422093513
LiSn2(PO4)3,-3.4054138263059874
LiGd(SO4)2,-3.1075695397709846
LiMg30WO32,-2.3070532791481675
KBaLiZnF6,-3.005558881163213
LiMo(PO3)4,-3.468363140682065
LiAuF6,-3.4344168852778516
LiFe2F6,-4.320690766884374
LiSn3Sb(PO4)6,-2.995771650241875
LiFePO4,-3.902845651222185
LiSmSe2,-3.1037235329058928
LiBS4(ClO3)4,-3.016412248421318
LiP3PbO9,-3.9046469637901255
LiBeH3,-2.0900799558535335
Na5LiFe2P2(CO7)2,-4.306551746375832
K2LiB(PO4)2,-3.6945076539338966
Rb4LiH3(SO4)4,-3.5017086812371447
LiFeP2O7,-3.692900264122724
LiMo(PO4)2,-3.8034431913859246
LiAsH2OF6,-3.406026380895889
LiNbO3,-2.4576314508454113
LiFePO4,-3.902845651222185
LiCaMgSiN3,-3.279038144626674
LiAlB2O5,-5.581981079561343
Ba4LiMo2N7,-4.177040062195378
LiVCoO4,-2.4708373784037385
Na5LiMn2P2(CO7)2,-4.132821968344615
LiNb3(Bi2O7)2,-3.311153990215442
LiEr2S2O8F3,-2.856565970272881
LiSn4(PO4)3,-4.122926086995012
LiNd6B3O14,-4.5272890723736365
LiMg30MnO32,-2.9333302173193854
LiAlGeO4,-4.171040103872736
Na2LiTi3Al(PO4)6,-3.4905991106362215
LiNd(WO4)2,-4.156764675496542
KLiSO4,-2.508936096439569
LiFePO4,-3.902845651222185
LiTa3O8,-3.375212923987566
Na3LiMg4(Si2O5)6,-4.092966632854485
KLiTi2(PO5)2,-0.7900973259863262
LiCr(SiO3)2,-4.504865912748693
LiAlSi3O8,-4.25188366569729
LiTi3MnCr(PO4)6,-1.6878206659205781
LiTiPCO7,-4.077804390224235
LiZr2(AsO4)3,-3.6729991762948777
LiNd(MoO4)2,-4.189652901797408
LiMo2P3O13,-3.9715945665166545
LiIn(CN2)2,-5.169596576224951
KLiNd2(MoO4)4,-4.243904283384713
Na2LiFePCO7,-4.274347308279453
LiMnNbO4,-3.0850594417077817
NaLiTiAl(PO4)3,-3.3963492589789057
LiBeH3,-2.0900799558535335
Na2LiMnPCO7,-4.127440815435907
LiErS2,-3.3033104067942225
LiNiSbO4,-3.5793492097344397
LiV3O8,-2.2881179334371318
LiGaAs2O7,-3.734480649474766
LiCaGaN2,-4.445643847740957
Rb2LiInCl6,-3.4045145709214903
LiThF5,-1.7230229645130897
CsLiSO4,-3.111486332672579
LiMg14CrO16,-2.8883659837651874
LiSiBiO4,-3.2413222087438904
LiGa(GeSe3)2,-4.0766392000776825
NaLiV2O6,-1.9298765203149517
LiLuO2,-2.34832093763417
K2LiYBr6,-2.6613268661951826
LiFeF3,-3.8079218048836485
LiV(CO3)2,-4.605026017908036
CsLiZnS2,-2.477708927179174
K2LiVS4,-2.2605638617135027
LiBP2Pb4O11,-3.4336389380933334
LiScO2,-1.9577967860343688
Rb5LiSi2NiO8,-3.5216071894736536
LiCoPO4,-3.8020303432844953
LiVTeO5,-3.1878025818341
LiMnPO4,-3.697979490591744
LiSn(SO4)2,-3.4126388873510316
K2LiAlH6,-3.315956019625994
Rb2LiGaF6,-3.9275254857765987
Sr2LiSiO4F,-2.969805607532729
LiGaCl3,-5.527899050995174
LiVF6,-2.7993219566095893
LiFePH2O5,-2.9984036886434193
LiClO4,-3.181270813469189
Ba2Li(BO2)5,-5.491428760461433
LiNbP4O13,-3.0948029781760726
Na2LiFe(Si2O5)3,-4.2547017074774
LiFe(CO3)2,-4.757968225139273
LiPr(SO4)2,-3.291210403746567
LiVF3,-1.810592606142511
LiCoPO4,-3.8020303432844953
LiSbF6,-3.0268210406292804
Cs2LiTlF6,-4.012299773497569
LiI,-1.8660364630898743
LiYO2,-1.3628884518378825
LiAlSiO4,-3.9993398502504593
LiU4As3O20,-2.9451206122182536
LiH6BrO7,-2.770314713163997
LiTaF6,-3.3411850116718926
LiFeBO3,-4.996693479209637
LiCaBO3,-4.068807813035439
Cs2LiInCl6,-3.235044791996093
Rb2LiCeI6,-2.9128474483339444
LiTbSe2,-3.168184879193307
Sr3LiTaO6,-2.616554183753455
Cs2LiBiCl6,-3.1243369474520075
LiMg30FeO32,-2.8768177838325633
LiCa9Co(PO4)7,-2.9861807732216157
NaLiV2O6,-1.9298765203149517
LiAs3H2O9,-3.992564926914392
KLiH2WO5,-2.8169079144620266
LiMnPO4,-3.697979490591744
Na2LiFePCO7,-4.274347308279453
LiMn2P3O10,-3.3731057879697692
KLiTe,-2.1336285916415942
LiFeBO3,-4.996693479209637
LiUPO6,-2.0357130065317297
K2LiFeF6,-2.8305461399915086
LiTbS2,-3.0099204376703614
LiCoPO4,-3.8020303432844953
LiCrP2O7,-3.9331363735254006
LiPrO2,-2.6290333377988953
LiCr(MoO4)2,-3.7115754025153302
K2LiBO3,-3.4657540631452366
LiErSe2,-3.234143616134188
LiFe(SiO3)2,-4.538858765662042
LiHS,-1.7860796718860243
LiVP2(HO4)2,-2.8758146312594906
LiV2P3O10,-2.0999957322014176
Cs2LiSmCl6,-3.0599884117051257
LiTaGeO5,-3.2987043194607195
LiCr(SO4)2,-3.356496147131795
LiVPO4,-1.140695138263011
LiNbNiO4,-3.819250029173876
KNa2LiZr2(Si2O5)6,-3.4458328863089056
LiZnPO4,-3.923099164364997
SrLiFeF6,-4.127569832280996
LiCaAlF6,-4.4381797894152655
LiMg4Al(MoO4)6,-5.033213482164225
Rb2LiYI6,-2.9461583638563185
LiCa2Mn2Si5HO15,-4.246918803239197
Cs3LiI4,-3.1368924123013064
LiFeF3,-3.8079218048836485
LiVFe(P2O7)2,-2.3407291107056256
LiHSeO3,-3.3464349662020076
LiAlSiO4,-3.9993398502504593
LiAl(SiO3)2,-4.124827328558294
LiCa9Mn(PO4)7,-3.054542716199415
Ba3LiTi5(SbO7)3,-2.5919169378986293
KLiSm2(MoO4)4,-4.288835550910766
Na2LiMnPCO7,-4.127440815435907
LiMnPO4,-3.697979490591744
K2LiInCl6,-3.2226067805177836
LiMg14CrO16,-2.8883659837651874
LiMoP2O7,-3.625604097006902
LiVP2O7,-2.879443423826046
LiMnF5,-3.8259738729532993
LiNi2P3O10,-3.338061969683734
LiVFeP2(HO5)2,-2.78753387737203
SrLiTi4CrO11,-2.1585224949333295
LiInSe2,-4.067860753749834
NaLiMgPO4F,-2.755571264962129
BaLiBS3,-3.578669485049413
LiMn(PO3)3,-3.9798173224456264
LiSiBO4,-4.515681593058066
KLiTm2(MoO4)4,-4.363335653801744
LiMnF3,-3.5514444029773338
LiZnPH2O5,-3.2638336160450994
