iter	RMSE
0	1.235650605
1	1.177255639
2	1.127530967
3	1.079431529
4	1.034362932
5	0.9935571065
6	0.9587401276
7	0.923356604
8	0.8897996192
9	0.8592609784
10	0.8321115171
11	0.8054096696
12	0.7792500907
13	0.7572921622
14	0.7366596708
15	0.7162712119
16	0.6981423466
17	0.6811897457
18	0.6628910643
19	0.6477240403
20	0.6354917206
21	0.6225120591
22	0.6113026545
23	0.5984340665
24	0.5852938038
25	0.5747571414
26	0.5646423428
27	0.5566521515
28	0.5466514527
29	0.5400056431
30	0.5324107068
31	0.526529833
32	0.5195718461
33	0.511748762
34	0.5049719668
35	0.4991126973
36	0.4943486386
37	0.4889259127
38	0.4852266853
39	0.4806215799
40	0.4759378017
41	0.4710312948
42	0.4682934909
43	0.4638104716
44	0.4601138113
45	0.4561210377
46	0.4523215299
47	0.4483779612
48	0.444533154
49	0.4384752898
50	0.4359882492
51	0.4335471136
52	0.4312552422
53	0.4290020445
54	0.4264326783
55	0.4234368198
56	0.4200981319
57	0.4175985848
58	0.4156417453
59	0.4133108607
60	0.4119237983
61	0.4100143442
62	0.4076506067
63	0.4036659865
64	0.4013604973
65	0.3984950037
66	0.3960198344
67	0.3945521676
68	0.3935112207
69	0.3925495288
70	0.3898871348
71	0.3877829673
72	0.3858027118
73	0.3843115662
74	0.381861236
75	0.3789695282
76	0.3774926304
77	0.3764017926
78	0.3753676633
79	0.3737517618
80	0.371460382
81	0.3690103649
82	0.3681069748
83	0.3659476628
84	0.3631802582
85	0.3609018749
86	0.3595109557
87	0.3579340134
88	0.3568806808
89	0.3556859753
90	0.3542545202
91	0.3528101093
92	0.3518406059
93	0.3500444379
94	0.3488046403
95	0.3460105459
96	0.343509079
97	0.3421631398
98	0.3410911116
99	0.339967908
100	0.3386765147
101	0.3375046644
102	0.3364748936
103	0.3352010144
104	0.334110567
105	0.3328064322
106	0.3314699113
107	0.3307938138
108	0.3291900251
109	0.327828051
110	0.3274334058
111	0.3256160889
112	0.3234204521
113	0.3217701814
114	0.3205269092
115	0.3195539053
116	0.3171791873
117	0.315922179
118	0.3154287076
119	0.3141690285
120	0.3121780664
121	0.3108566319
122	0.3095804958
123	0.3088634675
124	0.3070135188
125	0.3051905739
