iter	Passed	Remaining
0	3	1943
1	6	1662
2	9	1506
3	12	1492
4	14	1461
5	17	1432
6	19	1392
7	22	1373
8	25	1379
9	27	1351
10	30	1334
11	33	1368
12	36	1350
13	38	1333
14	40	1316
15	42	1300
16	45	1284
17	47	1276
18	50	1267
19	52	1265
20	55	1267
21	58	1261
22	60	1257
23	63	1256
24	66	1261
25	68	1256
26	74	1307
27	77	1303
28	81	1331
29	84	1322
30	86	1315
31	89	1306
32	91	1293
33	93	1282
34	101	1343
35	103	1332
36	105	1323
37	108	1317
38	110	1309
39	112	1298
40	115	1290
41	117	1279
42	119	1274
43	122	1273
44	125	1270
45	128	1265
46	130	1256
47	132	1249
48	135	1243
49	137	1236
50	139	1229
51	141	1221
52	144	1215
53	146	1207
54	149	1206
55	151	1200
56	153	1193
57	155	1187
58	158	1181
59	160	1174
60	162	1169
61	164	1163
62	167	1158
63	169	1153
64	171	1147
65	174	1144
66	176	1139
67	178	1133
68	180	1128
69	182	1123
70	185	1119
71	187	1116
72	190	1112
73	192	1107
74	194	1101
75	196	1095
76	198	1090
77	200	1084
78	202	1079
79	204	1074
80	207	1070
81	209	1067
82	211	1064
83	213	1059
84	215	1054
85	218	1049
86	220	1046
87	222	1043
88	225	1039
89	227	1034
90	229	1029
91	231	1025
92	233	1020
93	235	1016
94	237	1011
95	239	1007
96	241	1003
97	243	998
98	245	994
99	247	990
100	249	986
101	251	982
102	253	978
103	256	974
104	258	972
105	260	967
106	262	963
107	264	959
108	266	955
109	268	951
110	270	948
111	272	944
112	274	940
113	276	937
114	278	933
115	280	929
116	282	925
117	284	922
118	286	918
119	288	914
120	290	911
121	293	907
122	295	904
123	297	900
124	298	896
125	304	905
126	307	902
127	309	898
128	312	897
129	314	895
130	316	891
131	318	888
132	320	884
133	322	881
134	324	877
135	326	873
136	328	870
137	330	866
138	332	863
139	334	861
140	337	858
141	339	855
142	341	851
143	342	847
144	344	844
145	346	840
146	351	843
147	353	840
148	355	836
149	357	833
150	359	830
151	361	826
152	363	823
153	364	819
154	366	816
155	368	813
156	370	809
157	372	806
158	374	802
159	377	801
160	378	797
161	380	794
162	382	791
163	384	787
164	386	784
165	388	781
166	390	778
167	392	774
168	394	771
169	395	768
170	397	765
171	399	762
172	401	758
173	403	755
174	405	752
175	407	749
176	409	746
177	411	743
178	412	740
179	414	737
180	416	734
181	418	730
182	420	727
183	421	724
184	423	721
185	426	719
186	428	716
187	429	713
188	431	710
189	433	707
190	435	704
191	437	701
192	439	698
193	441	695
194	443	692
195	445	690
196	447	687
197	448	684
198	450	681
199	452	678
200	454	676
201	456	673
202	458	670
203	459	667
204	461	664
205	463	661
206	465	658
207	467	656
208	469	653
209	471	651
210	473	648
211	475	646
212	478	644
213	480	641
214	482	639
215	484	636
216	486	634
217	488	631
218	490	628
219	491	626
220	494	623
221	496	621
222	498	618
223	499	616
224	502	613
225	504	611
226	506	608
227	508	606
228	510	603
229	512	601
230	514	599
231	516	596
232	518	593
233	520	591
234	522	589
235	524	586
236	526	584
237	528	581
238	530	579
239	532	576
240	534	574
241	536	572
242	538	569
243	540	567
