"formula","material_ID","Li_Chempot_Min","Li_Chempot_Max","max_oxidation_state","min_oxidation_state","Eng-maxOxi","Eng-minOXi","MagpieData minimum Number","MagpieData maximum Number","MagpieData range Number","MagpieData mean Number","MagpieData avg_dev Number","MagpieData mode Number","MagpieData minimum MendeleevNumber","MagpieData maximum MendeleevNumber","MagpieData range MendeleevNumber","MagpieData mean MendeleevNumber","MagpieData avg_dev MendeleevNumber","MagpieData mode MendeleevNumber","MagpieData minimum AtomicWeight","MagpieData maximum AtomicWeight","MagpieData range AtomicWeight","MagpieData mean AtomicWeight","MagpieData avg_dev AtomicWeight","MagpieData mode AtomicWeight","MagpieData minimum MeltingT","MagpieData maximum MeltingT","MagpieData range MeltingT","MagpieData mean MeltingT","MagpieData avg_dev MeltingT","MagpieData mode MeltingT","MagpieData minimum Column","MagpieData maximum Column","MagpieData range Column","MagpieData mean Column","MagpieData avg_dev Column","MagpieData mode Column","MagpieData minimum Row","MagpieData maximum Row","MagpieData range Row","MagpieData mean Row","MagpieData avg_dev Row","MagpieData mode Row","MagpieData minimum CovalentRadius","MagpieData maximum CovalentRadius","MagpieData range CovalentRadius","MagpieData mean CovalentRadius","MagpieData avg_dev CovalentRadius","MagpieData mode CovalentRadius","MagpieData minimum Electronegativity","MagpieData maximum Electronegativity","MagpieData range Electronegativity","MagpieData mean Electronegativity","MagpieData avg_dev Electronegativity","MagpieData mode Electronegativity","MagpieData minimum NsValence","MagpieData maximum NsValence","MagpieData range NsValence","MagpieData mean NsValence","MagpieData avg_dev NsValence","MagpieData mode NsValence","MagpieData minimum NpValence","MagpieData maximum NpValence","MagpieData range NpValence","MagpieData mean NpValence","MagpieData avg_dev NpValence","MagpieData mode NpValence","MagpieData minimum NdValence","MagpieData maximum NdValence","MagpieData range NdValence","MagpieData mean NdValence","MagpieData avg_dev NdValence","MagpieData mode NdValence","MagpieData minimum NfValence","MagpieData maximum NfValence","MagpieData range NfValence","MagpieData mean NfValence","MagpieData avg_dev NfValence","MagpieData mode NfValence","MagpieData minimum NValence","MagpieData maximum NValence","MagpieData range NValence","MagpieData mean NValence","MagpieData avg_dev NValence","MagpieData mode NValence","MagpieData minimum NsUnfilled","MagpieData maximum NsUnfilled","MagpieData range NsUnfilled","MagpieData mean NsUnfilled","MagpieData avg_dev NsUnfilled","MagpieData mode NsUnfilled","MagpieData minimum NpUnfilled","MagpieData maximum NpUnfilled","MagpieData range NpUnfilled","MagpieData mean NpUnfilled","MagpieData avg_dev NpUnfilled","MagpieData mode NpUnfilled","MagpieData minimum NdUnfilled","MagpieData maximum NdUnfilled","MagpieData range NdUnfilled","MagpieData mean NdUnfilled","MagpieData avg_dev NdUnfilled","MagpieData mode NdUnfilled","MagpieData minimum NfUnfilled","MagpieData maximum NfUnfilled","MagpieData range NfUnfilled","MagpieData mean NfUnfilled","MagpieData avg_dev NfUnfilled","MagpieData mode NfUnfilled","MagpieData minimum NUnfilled","MagpieData maximum NUnfilled","MagpieData range NUnfilled","MagpieData mean NUnfilled","MagpieData avg_dev NUnfilled","MagpieData mode NUnfilled","MagpieData minimum GSvolume_pa","MagpieData maximum GSvolume_pa","MagpieData range GSvolume_pa","MagpieData mean GSvolume_pa","MagpieData avg_dev GSvolume_pa","MagpieData mode GSvolume_pa","MagpieData minimum GSbandgap","MagpieData maximum GSbandgap","MagpieData range GSbandgap","MagpieData mean GSbandgap","MagpieData avg_dev GSbandgap","MagpieData mode GSbandgap","MagpieData minimum GSmagmom","MagpieData maximum GSmagmom","MagpieData range GSmagmom","MagpieData mean GSmagmom","MagpieData avg_dev GSmagmom","MagpieData mode GSmagmom","MagpieData minimum SpaceGroupNumber","MagpieData maximum SpaceGroupNumber","MagpieData range SpaceGroupNumber","MagpieData mean SpaceGroupNumber","MagpieData avg_dev SpaceGroupNumber","MagpieData mode SpaceGroupNumber"
"LiCaFeF6","mp-1211093",6.16729561808909,3.14665917652005,3,-1,9.23,3.07666666666667,3,26,23,11.4444444444444,5.1358024691358,9,1,93,92,69,32,93,6.941,55.845,48.904,24.0949354666667,10.6073620148148,18.9984032,53.5,1811,1757.5,411.187777777778,476.917037037037,53.5,1,17,16,12.5555555555556,5.92592592592593,17,2,4,2,2.44444444444444,0.691358024691358,2,57,176,119,86.4444444444444,39.2592592592593,57,0.98,3.98,3,3.07666666666667,1.20444444444444,3.98,1,2,1,1.88888888888889,0.197530864197531,2,0,5,5,3.33333333333333,2.22222222222222,5,0,6,6,0.666666666666667,1.18518518518519,0,0,0,0,0,0,0,1,8,7,5.88888888888889,1.95061728395062,7,0,1,1,0.111111111111111,0.197530864197531,0,0,1,1,0.666666666666667,0.444444444444444,1,0,4,4,0.444444444444444,0.790123456790123,0,0,0,0,0,0,0,0,4,4,1.22222222222222,0.617283950617284,1,9.7075,37.77,28.0625,13.7042592592556,5.98995884773087,9.7075,0,1.97,1.97,1.31333333333333,0.875555555555555,1.97,0,2.1106628,2.1106628,0.234518088888889,0.41692104691358,0,15,229,214,85.8888888888889,94.5185185185185,15
"LiVP2O7","mp-26727",3.45443233480032,2.34011325941781,5,-2,14.1227272727273,5.64909090909091,3,23,20,10.1818181818182,4.08264462809917,8,1,87,86,74.7272727272727,18.6280991735537,87,6.941,50.9415,44.0005,21.0750749090909,9.02978168595041,15.9994,54.8,2183,2128.2,332.262727272727,358.575371900826,54.8,1,16,15,13.4545454545455,3.80165289256198,16,2,4,2,2.36363636363636,0.528925619834711,2,66,153,87,87,26.7272727272727,66,0.98,3.44,2.46,2.82454545454545,0.783305785123967,3.44,1,2,1,1.90909090909091,0.165289256198347,2,0,4,4,3.09090909090909,1.15702479338843,4,0,3,3,0.272727272727273,0.495867768595041,0,0,0,0,0,0,0,1,6,5,5.27272727272727,0.925619834710744,6,0,1,1,0.090909090909091,0.165289256198347,0,0,3,3,1.81818181818182,0.661157024793388,2,0,7,7,0.636363636363636,1.15702479338843,0,0,0,0,0,0,0,1,7,6,2.54545454545455,0.975206611570248,2,9.105,22.5702380952,13.4652380952,12.5889826839727,4.43415977960165,9.105,0,1.625,1.625,0.295454545454546,0.483471074380165,0,0,0,0,0,0,0,2,229,227,49.6363636363636,65.2231404958678,12
"KLiCO3","mp-562137",3.95850693377944,1.13855831311528,4,-2,9.78,4.89,3,19,16,8.66666666666667,3.44444444444444,8,1,87,86,57,36.6666666666667,87,6.941,39.0983,32.1573,17.6747,7.1412,15.9994,54.8,3823,3768.2,796.27,1008.91,54.8,1,16,15,10.6666666666667,6.44444444444444,16,2,4,2,2.33333333333333,0.555555555555556,2,66,203,137,100.833333333333,43.1111111111111,66,0.82,3.44,2.62,2.445,1.03,3.44,1,2,1,1.66666666666667,0.444444444444444,2,0,4,4,2.33333333333333,1.66666666666667,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,4,2,6,0,1,1,0.333333333333333,0.444444444444444,0,0,4,4,1.66666666666667,1.11111111111111,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,0.666666666666667,2,5.64,73.1066666667,67.4666666667,20.4425,17.5547222222333,9.105,0,4.496,4.496,0.749333333333333,1.24888888888889,0,0,0,0,0,0,0,12,229,217,114.666666666667,102.666666666667,12
"LiAs2H3O7","mp-1192746",4.27448934350567,3.54778269853433,5,-2,13.8538461538462,5.54153846153846,1,33,32,9.84615384615385,7.12426035502959,8,1,92,91,81.0769230769231,12.3195266272189,87,1.00794,74.9216,73.91366,20.9079861538462,16.6195734911243,15.9994,14.01,1090,1075.99,235.332307692308,296.568165680473,54.8,1,16,15,11.2307692307692,6.29585798816568,16,1,4,3,2.07692307692308,0.591715976331361,2,31,128,97,70.8461538461538,23.6094674556213,66,0.98,3.44,2.46,2.77076923076923,0.720710059171598,3.44,1,2,1,1.69230769230769,0.42603550295858,2,0,4,4,2.61538461538462,1.6094674556213,4,0,10,10,1.53846153846154,2.60355029585799,0,0,0,0,0,0,0,1,15,14,5.84615384615385,2.98224852071006,6,0,1,1,0.307692307692308,0.42603550295858,0,0,3,3,1.53846153846154,0.946745562130178,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.84615384615385,0.520710059171597,2,6.615,22.175,15.56,11.1171794871769,4.24489151873373,9.105,0,7.853,7.853,1.81223076923077,2.78804733727811,0,0,0,0,0,0,0,12,229,217,94.3846153846154,88.7218934911243,12
"K2LiCrF6","mp-1111927",5.33499256575812,1.77982744205325,3,-1,8.448,2.816,3,24,21,11.9,5.26,9,1,93,92,61.4,37.92,93,6.941,51.9961,45.0551,25.11241192,10.971092848,18.9984032,53.5,2180,2126.5,362.775,381.628,53.5,1,17,16,11.1,7.08,17,2,4,2,2.6,0.84,2,57,203,146,101.5,53.4,57,0.82,3.98,3.16,2.816,1.3968,3.98,1,2,1,1.6,0.48,2,0,5,5,3,2.4,5,0,5,5,0.5,0.9,0,0,0,0,0,0,0,1,7,6,5.1,2.46,7,0,1,1,0.4,0.48,0,0,1,1,0.6,0.48,1,0,5,5,0.5,0.9,0,0,0,0,0,0,0,1,6,5,1.5,0.9,1,9.7075,73.1066666667,63.3991666667,23.22416666667,19.953000000012,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0,0,0,0,0,15,229,214,100.6,102.72,15
"LiHoSe2","mp-33322",2.07463538920843,0.423210291454723,3,-2,5.4825,3.655,3,67,64,34.5,16.25,34,1,89,88,53,36,89,6.941,164.93032,157.98932,82.44783,41.241245,78.96,453.69,1747,1293.31,797.1725,474.91375,494,1,16,15,9,7,16,2,6,4,4,1,4,120,192,72,140,26,120,0.98,2.55,1.57,1.8275,0.7225,2.55,1,2,1,1.75,0.375,2,0,4,4,2,2,4,0,10,10,5,5,10,0,11,11,2.75,4.125,0,1,16,15,11.5,5.25,16,0,1,1,0.25,0.375,0,0,2,2,1,1,2,0,0,0,0,0,0,0,3,3,0.75,1.125,0,1,3,2,2,0.5,2,16.5933333333,30.7333333333,14.14,24.79166666665,4.099166666675,25.92,0,0.799,0.799,0.3995,0.3995,0.799,0,0,0,0,0,0,14,229,215,112.75,98.75,14
"LiB(S2O7)2","mp-1020060",5.36499910843341,4.02493958624657,6,-2,18.45,6.15,3,16,13,9.2,2.72,8,1,88,87,82.15,9.13,87,6.941,32.065,25.124,18.50018,5.425928,15.9994,54.8,2348,2293.2,256.1165,281.8431,54.8,1,16,15,15.1,1.62,16,2,3,1,2.2,0.32,2,66,128,62,77.8,16.52,66,0.98,3.44,2.46,3.075,0.511,3.44,1,2,1,1.95,0.095,2,0,4,4,3.65,0.63,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,5.6,0.72,6,0,1,1,0.05,0.095,0,0,5,5,2.05,0.295,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2.1,0.29,2,7.1725,25.786875,18.614375,12.719166666665,5.6144999999975,9.105,0,2.202,2.202,0.5166,0.7749,0,0,0,0,0,0,0,12,229,217,42.15,42.21,12
"LiCr4(PO4)3","mp-26913",2.25841307766682,2.22053408143703,5,-2,13.8675,5.547,3,24,21,12,5.7,8,1,87,86,74.5,17.55,87,6.941,51.9961,45.0551,24.9919743,12.59618659,15.9994,54.8,2180,2125.2,539.1595,656.3362,54.8,1,16,15,13.1,4.05,16,2,4,2,2.55,0.715,2,66,139,73,89.85,28.62,66,0.98,3.44,2.46,2.7735,0.7998,3.44,1,2,1,1.75,0.375,2,0,4,4,2.85,1.425,4,0,5,5,1,1.6,0,0,0,0,0,0,0,1,6,5,5.6,0.64,6,0,1,1,0.25,0.375,0,0,3,3,1.65,0.825,2,0,5,5,1,1.6,0,0,0,0,0,0,0,1,6,5,2.9,1.27,2,9.105,22.5702380952,13.4652380952,11.916202380945,3.663923809512,9.105,0,1.625,1.625,0.24375,0.414375,0,0,0,0,0,0,0,2,229,227,64.75,82.125,12
"LiAuF4","mp-12263",5.74660760088704,4.31111321836535,3,-1,9.72,3.24,3,79,76,19.6666666666667,19.7777777777778,9,1,93,92,73.1666666666667,26.4444444444444,93,6.941,196.966569,190.025569,46.6501969666667,50.1054573444444,18.9984032,53.5,1337.33,1283.83,334.17,374.226666666667,53.5,1,17,16,13.3333333333333,4.88888888888889,17,2,6,4,2.66666666666667,1.11111111111111,2,57,136,79,82,33.3333333333333,57,0.98,3.98,3,3.24,0.986666666666667,3.98,1,2,1,1.66666666666667,0.444444444444444,2,0,5,5,3.33333333333333,2.22222222222222,5,0,10,10,1.66666666666667,2.77777777777778,0,0,14,14,2.33333333333333,3.88888888888889,0,1,25,24,9,5.33333333333333,7,0,1,1,0.333333333333333,0.444444444444444,0,0,1,1,0.666666666666667,0.444444444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,9.7075,16.7,6.9925,12.02055555555,3.08407407406667,9.7075,0,1.97,1.97,1.31333333333333,0.875555555555555,1.97,0,0,0,0,0,0,15,229,214,85.6666666666667,94.2222222222222,15
"LiSm6B3O14","mp-1211144",3.2030158637825,0.811849175872979,3,-2,7.785,5.19,3,62,59,20.9166666666667,20.5416666666667,8,1,87,86,65.5416666666667,26.6493055555556,87,6.941,150.36,143.419,48.5635666666667,50.8982166666667,15.9994,54.8,2348,2293.2,680.620416666667,749.0346875,54.8,1,16,15,11.75,5.27083333333333,16,2,6,4,3,1.5,2,66,198,132,103.833333333333,49.0972222222222,66,0.98,3.44,2.46,2.595,0.985833333333333,3.44,1,2,1,1.95833333333333,0.079861111111111,2,0,4,4,2.45833333333333,1.79861111111111,4,0,0,0,0,0,0,0,6,6,1.5,2.25,0,1,8,7,5.91666666666667,1.13888888888889,6,0,1,1,0.041666666666667,0.079861111111111,0,0,5,5,1.79166666666667,1.04513888888889,2,0,0,0,0,0,0,0,8,8,2,3,0,1,8,7,3.83333333333333,2.375,2,7.1725,33.23,26.0575,15.2067013888875,9.12720196759062,9.105,0,1.524,1.524,0.1905,0.333375,0,0,0,0,0,0,0,12,229,217,78.7916666666667,77.9236111111111,12
