iter	RMSE
0	2.114355819
1	2.07106951
2	2.02677594
3	1.987322327
4	1.954564698
5	1.91198603
6	1.877869268
7	1.845707829
8	1.821191537
9	1.796245788
10	1.778168172
11	1.754696611
12	1.73162663
13	1.713276143
14	1.69783035
15	1.673292297
16	1.657729412
17	1.64366694
18	1.618097251
19	1.603808082
20	1.583302718
21	1.571162916
22	1.557092988
23	1.532222518
24	1.520548693
25	1.507829122
26	1.499579175
27	1.487434282
28	1.475223685
29	1.461591194
30	1.457760723
31	1.446821013
32	1.438199809
33	1.429805176
34	1.42338675
35	1.415001377
36	1.40730885
37	1.40090319
38	1.387147711
39	1.383755709
40	1.378389103
41	1.373482849
42	1.361681941
43	1.35146714
44	1.342393121
45	1.336341354
46	1.328119468
47	1.32458824
48	1.315960682
49	1.310886533
50	1.305640335
51	1.296485868
52	1.291203991
53	1.287695745
54	1.276556653
55	1.266396136
56	1.261376288
57	1.255954864
58	1.251660232
59	1.245781524
60	1.236652975
61	1.230846091
62	1.224630266
63	1.215092316
64	1.20649235
65	1.197692477
66	1.191140573
67	1.18718808
68	1.182257602
69	1.174689163
70	1.165672995
71	1.158501151
72	1.156110852
73	1.153099804
74	1.14258535
75	1.137358191
76	1.133230711
77	1.128528757
78	1.127458143
79	1.125784668
80	1.117673264
81	1.108363914
82	1.100564748
83	1.093996538
84	1.087049385
85	1.084096748
86	1.078777454
87	1.074017054
88	1.067707569
89	1.061314409
90	1.056387647
91	1.049973155
92	1.04505087
93	1.040040621
94	1.0346569
95	1.029090923
96	1.020696506
97	1.01644743
98	1.014497731
99	1.013520603
100	1.008075385
101	1.00199853
102	1.000989071
103	0.9956930523
104	0.989407272
105	0.9869789404
106	0.9817190044
107	0.9762886743
108	0.975033758
109	0.9707470921
110	0.9652190044
111	0.9623186008
112	0.9570785849
113	0.9525187958
114	0.9451809155
115	0.941270502
116	0.9362034125
117	0.9314022734
118	0.9261429321
119	0.9246222645
120	0.9220597862
121	0.9163110433
122	0.9126432985
123	0.9086206078
124	0.9042787843
125	0.9015215586
126	0.8959625381
127	0.8930700704
128	0.8899823754
129	0.8851172751
130	0.8821326204
131	0.8772905402
132	0.8730827598
133	0.8715546846
134	0.8675111199
135	0.8644859608
136	0.8574249001
137	0.8536894564
138	0.8509953958
139	0.847166254
140	0.844590999
141	0.8385585718
142	0.8371934568
143	0.8334575067
144	0.829647722
145	0.8262455813
146	0.8233725746
147	0.8201195875
148	0.8165090578
149	0.8150920539
150	0.812480095
151	0.8096241292
152	0.8051835897
153	0.8046982177
154	0.8017067551
155	0.8014876382
156	0.7965999843
157	0.7958448415
158	0.7930890504
159	0.7888350177
160	0.7859556332
161	0.7832553789
162	0.7822028548
163	0.7803272537
164	0.7770504664
165	0.7733280229
166	0.7715783919
