"formula","Ea_1D","Ea_2D","Ea_3D","MagpieData range Number","MagpieData mean Number","MagpieData avg_dev Number","MagpieData range MendeleevNumber","MagpieData mean MendeleevNumber","MagpieData avg_dev MendeleevNumber","MagpieData range AtomicWeight","MagpieData mean AtomicWeight","MagpieData avg_dev AtomicWeight","MagpieData range MeltingT","MagpieData mean MeltingT","MagpieData avg_dev MeltingT","MagpieData range Column","MagpieData mean Column","MagpieData avg_dev Column","MagpieData range Row","MagpieData mean Row","MagpieData avg_dev Row","MagpieData range CovalentRadius","MagpieData mean CovalentRadius","MagpieData avg_dev CovalentRadius","MagpieData range Electronegativity","MagpieData mean Electronegativity","MagpieData avg_dev Electronegativity","MagpieData range NsValence","MagpieData mean NsValence","MagpieData avg_dev NsValence","MagpieData range NpValence","MagpieData mean NpValence","MagpieData avg_dev NpValence","MagpieData range NdValence","MagpieData mean NdValence","MagpieData avg_dev NdValence","MagpieData range NfValence","MagpieData mean NfValence","MagpieData avg_dev NfValence","MagpieData range NValence","MagpieData mean NValence","MagpieData avg_dev NValence","MagpieData range NsUnfilled","MagpieData mean NsUnfilled","MagpieData avg_dev NsUnfilled","MagpieData range NpUnfilled","MagpieData mean NpUnfilled","MagpieData avg_dev NpUnfilled","MagpieData range NdUnfilled","MagpieData mean NdUnfilled","MagpieData avg_dev NdUnfilled","MagpieData range NfUnfilled","MagpieData mean NfUnfilled","MagpieData avg_dev NfUnfilled","MagpieData range NUnfilled","MagpieData mean NUnfilled","MagpieData avg_dev NUnfilled","MagpieData range GSvolume_pa","MagpieData mean GSvolume_pa","MagpieData avg_dev GSvolume_pa","MagpieData range GSbandgap","MagpieData mean GSbandgap","MagpieData avg_dev GSbandgap","MagpieData range GSmagmom","MagpieData mean GSmagmom","MagpieData avg_dev GSmagmom","MagpieData range SpaceGroupNumber","MagpieData mean SpaceGroupNumber","MagpieData avg_dev SpaceGroupNumber","two_theta1","two_theta2","two_theta3","two_theta4","two_theta5","two_theta6","two_theta7","two_theta8","two_theta9","two_theta10","two_theta11","two_theta12","two_theta13","two_theta14","two_theta15","two_theta16","two_theta17","two_theta18","two_theta19","two_theta20"
"LiNd(P4O12)1",0.634765625,1.09375,1.77734375,57,12.1666666666667,6.57407407407407,86,77.5555555555556,15.0123456790123,137.301,25.9483804444444,15.3772384197531,1239.2,204.138333333333,199.117777777778,15,14.2222222222222,2.71604938271605,4,2.44444444444444,0.641975308641975,135,86.0555555555556,26.7407407407407,2.46,2.89777777777778,0.722962962962963,1,1.94444444444444,0.104938271604938,4,3.33333333333333,0.888888888888889,0,0,0,4,0.222222222222222,0.419753086419753,5,5.5,0.722222222222222,1,0.055555555555556,0.104938271604938,3,2,0.444444444444444,0,0,0,10,0.555555555555556,1.04938271604938,9,2.61111111111111,0.993827160493827,25.705,13.9413492063389,6.44846560845185,1.625,0.361111111111111,0.561728395061728,0,0,0,227,31.9444444444444,39.9012345679012,13.1789280448132,15.2407973225325,20.1983738822181,20.2018401308938,22.2817491065934,22.2880616401711,22.7811142400978,27.252946790028,28.1962693133655,29.7587265635841,30.73931760979,30.7598797086719,32.184220674158,32.1932079011723,33.2476353228283,33.5916434907513,38.2167237524986,40.296146129456,46.5374917427446,46.7944674430981
"Li2(SO4)1",0.41015625,0.41015625,0.419921875,13,7.71428571428571,2.69387755102041,87,62.5714285714286,35.1836734693878,25.124,15.7063714285714,5.00878367346939,398.89,216.42,184.708571428571,15,11.7142857142857,6.12244897959184,1,2.14285714285714,0.244897959183673,62,89.2857142857143,26.6122448979592,2.46,2.61428571428571,0.943673469387755,1,1.71428571428571,0.408163265306122,4,2.85714285714286,1.63265306122449,0,0,0,0,0,0,5,4.57142857142857,2.04081632653061,1,0.285714285714286,0.408163265306122,2,1.42857142857143,0.816326530612245,0,0,0,0,0,0,1,1.71428571428571,0.408163265306122,16.681875,13.6276488095143,5.16874149658776,2.202,0.314571428571428,0.539265306122449,0,0,0,217,82.2857142857143,83.8367346938776,19.2582217553231,24.0443008510084,25.9449590312987,28.7465179088839,32.2056031838674,34.8352748386307,36.2173200162473,36.4772276968723,39.0890608112576,47.089962086139,49.2524980654179,52.73424856926,53.3547299376328,57.6267144226163,58.2108948377608,59.534201407443,60.2395191868594,63.7045463580116,67.3833120724471,68.0911374745582
"RbLi2(Be2F7)1",0.478515625,0.478515625,0.95703125,34,9.5,4.58333333333333,92,65.9166666666667,31.9583333333333,78.5268,20.8635822,10.7673696333333,1506.5,392.861666666667,409.322222222222,16,10.5,7.58333333333333,3,2.25,0.458333333333333,163,88.9166666666667,37.2361111111111,3.16,2.815,1.35916666666667,1,1.75,0.375,5,2.91666666666667,2.43055555555556,0,0,0,0,0,0,6,4.66666666666667,2.72222222222222,1,0.25,0.375,1,0.583333333333333,0.486111111111111,0,0,0,0,0,0,1,0.833333333333333,0.277777777777778,82.8325,17.3034722222167,12.2365046296306,1.97,1.14916666666667,0.957638888888889,0,0,0,214,98.3333333333333,97.2222222222222,14.0738788578327,19.0185799063374,24.8809469004903,27.4899217994874,27.5800425740394,27.7018140862545,28.6685853694263,28.7264268421589,35.2077344778416,35.7406981165884,38.0381497232148,38.1282094193971,38.5879373900704,39.6475225069327,40.2952093447811,40.3381368929154,40.6632425070782,40.6845501403083,43.1264471158158,50.3751643059724
"Cs2Li(GaF6)1",2.763671875,2.763671875,4.033203125,52,19.8,16.32,92,64.3,36.38,125.9644519,45.6465323,39.71886138,400.19,168.078,137.4936,16,11.8,6.48,4,3,1.4,187,108,61.2,3.19,2.825,1.386,1,1.7,0.42,5,3.1,2.28,10,1,1.8,0,0,0,12,5.8,2.88,1,0.3,0.42,5,1.1,0.78,0,0,0,0,0,0,4,1.4,0.72,106.0575,32.52258333333,33.296966666668,1.97,1.182,0.9456,0,0,0,214,84.1,86.94,23.576822890512,28.0557933885214,34.6361034972829,36.9638921679544,38.4078454370225,45.1487677780346,47.0386677863339,48.2333523097582,49.648875853261,55.8001378573728,56.7297733019099,57.9972442383535,63.4816342593534,63.6040796173791,70.7934461736057,70.909487997333,71.725585999061,77.7917998926288,79.7798944538279,80.0025944509113
"LiCuO",2.119140625,2.119140625,2.119140625,26,13.3333333333333,10.4444444444444,86,50.6666666666667,33.1111111111111,56.605,28.8288,23.1448,1302.97,622.086666666667,490.455555555556,15,9.33333333333333,5.55555555555555,2,2.66666666666667,0.888888888888889,66,108.666666666667,28.4444444444444,2.46,2.10666666666667,0.888888888888889,1,1.33333333333333,0.444444444444444,4,1.33333333333333,1.77777777777778,10,3.33333333333333,4.44444444444444,0,0,0,10,6,3.33333333333333,1,0.666666666666667,0.444444444444444,2,0.666666666666667,0.888888888888889,0,0,0,0,0,0,1,1.33333333333333,0.444444444444444,7.4883333333,12.2561111111,2.89148148146667,0,0,0,0,0,0,217,155.333333333333,95.5555555555555,14.9501666874826,21.2035900984614,25.6634179679301,33.5239683381913,33.8238481739828,40.0078828891911,43.1802489849151,45.7126591912708,45.9444766401471,47.6921583176981,50.908676535587,59.7438572959283,60.3196615339755,67.0012987401645,68.3787807033095,73.0184359086353,80.986553174859,83.5588015615549,84.8957946647378,86.3406669968829
"LiNbO2",1.064453125,1.064453125,6.826171875,38,15,13,86,55.5,31.5,85.96538,32.961545,29.9724175,2695.2,828.3225,960.83875,15,9.5,6.5,3,2.75,1.125,98,106,40,2.46,2.365,1.075,1,1.5,0.5,4,2,2,4,1,1.5,0,0,0,5,4.5,1.75,1,0.5,0.5,2,1,1,6,1.5,2.25,0,0,0,6,3,2,9.075,13.245833333325,4.140833333325,0,0,0,0,0,0,217,120.5,108.5,16.9676139256578,34.3222436169642,35.476688020175,36.5373257800131,39.5722759709687,44.2412156766786,50.1909398483693,52.5384578879706,57.1604452851938,63.701024157771,65.0023871128338,66.4515107957666,72.3309847347886,73.673681456711,74.3991193969096,75.7280637645121,77.6503628020988,80.8242089312951,83.2308356804167,87.0603568125827
"Li(Ta3O8)1",2.34375,4.365234375,4.365234375,70,23.8333333333333,24.5833333333333,86,70.0833333333333,22.5555555555556,174.00688,56.4816533333333,62.2331133333333,3235.2,896.840833333333,1196.57958333333,15,12,5.33333333333333,4,3,1.5,104,97.1666666666667,41.5555555555556,2.46,2.75,0.92,1,1.91666666666667,0.152777777777778,4,2.66666666666667,1.77777777777778,3,0.75,1.125,14,3.5,5.25,18,8.83333333333333,5.08333333333333,1,0.083333333333333,0.152777777777778,2,1.33333333333333,0.888888888888889,7,1.75,2.625,0,0,0,6,3.16666666666667,1.91666666666667,9.015,11.982777777775,3.83703703703333,0,0,0,0,0,0,217,84.3333333333333,96.4444444444445,10.4140410981036,22.8621225214282,23.1090525143176,23.2055007098594,25.2155482276062,25.348764046171,28.0206354938328,28.1213889274774,30.2304548922773,30.2869073210334,31.5809667605682,31.6894363993708,32.8028175858604,34.2943434006672,34.3951874346352,36.4649196251158,36.5446169057914,38.2377057928607,46.7038226723079,53.879295419369
"Li2Hg(PO3)4",1.044921875,1.85546875,1.85546875,77,12.7368421052632,8.03324099722992,86,76.2631578947368,16.398891966759,193.649,27.9136762105263,19.4649123102493,398.89,161.5,134.778947368421,15,14,2.94736842105263,4,2.42105263157895,0.620498614958449,66,84.6315789473684,23.5346260387812,2.46,2.84210526315789,0.755235457063712,1,1.89473684210526,0.188365650969529,4,3.15789473684211,1.06371191135734,10,0.526315789473684,0.997229916897507,14,0.736842105263158,1.39612188365651,25,6.31578947368421,2.07202216066482,1,0.105263157894737,0.188365650969529,3,1.89473684210526,0.598337950138504,0,0,0,0,0,0,3,2,0.421052631578947,16.1325862069,13.5771160660158,5.64898871496731,1.625,0.342105263157895,0.54016620498615,0,0,0,227,40.8421052631579,52.786703601108,12.622475383569,18.5119169860826,21.5260837474284,21.7491005574315,22.047432972824,22.481520831051,25.220605282794,25.7451264335466,26.4923180405053,26.8538734000761,27.2157144549175,27.5878111685297,28.9097162906915,29.2675390257398,31.1515487657479,31.7816949576098,33.5789491902061,34.2836370071276,35.1499940568029,37.5303697864355
"Li2Cd(PO3)4",0.771484375,1.81640625,1.81640625,45,11.0526315789474,5.55124653739612,86,76.2105263157895,16.4875346260388,105.47,23.2726762105263,12.6255438891967,539.42,180.442105263158,158.705817174515,15,14,2.94736842105263,3,2.36842105263158,0.542936288088643,78,85.2631578947368,24.3324099722992,2.46,2.82578947368421,0.77584487534626,1,1.89473684210526,0.188365650969529,4,3.15789473684211,1.06371191135734,10,0.526315789473684,0.997229916897507,0,0,0,11,5.57894736842105,1.20775623268698,1,0.105263157894737,0.188365650969529,3,1.89473684210526,0.598337950138504,0,0,0,0,0,0,3,2,0.421052631578947,13.4652380952,13.2748746867053,5.26721013057507,1.625,0.342105263157895,0.54016620498615,0,0,0,227,42.3157894736842,55.2686980609418,12.6364839769348,18.624750974884,21.6215045128145,22.3648328577972,25.2463669065923,26.2810876945957,27.0813352947566,27.4913242974748,27.533853637548,27.6865581475867,29.0584425112349,31.5577897232231,33.4142137186622,34.9111193007061,37.2427542139443,37.7656666771281,39.4854542055389,46.0458319713835,46.2637552623974,48.1604334395265
"Li(PO3)1",0.76171875,1.484375,1.484375,12,8.4,2.64,86,69,27.2,24.032762,17.1825924,5.51646784,398.89,187.078,158.7336,15,12.8,4.72,1,2.2,0.32,62,86.6,24.72,2.46,2.698,0.8904,1,1.8,0.32,4,3,1.2,0,0,0,0,0,0,5,4.8,1.52,1,0.2,0.32,3,1.8,0.72,0,0,0,0,0,0,2,2,0.4,13.4652380952,13.2957142857,5.02885714284,1.625,0.325,0.52,0,0,0,227,53.4,70.24,16.0517172878404,18.5400690588081,24.6167980342928,25.1944434499672,26.8515496203361,26.9240370786578,27.2552094367564,30.8488516876466,31.4009656948985,31.5265772959587,32.4297046747624,38.0097614687948,39.1565696712724,40.4772890888759,41.1126195231488,43.7486250742012,47.7789657804975,47.9116266816793,51.7223132821707,63.799184921426
